dataset,method,tau,split,total_queries,recall@1,recall@3,recall@5,recall@10,recall@20,gt_recall@1,gt_recall@3,gt_recall@5,gt_recall@10,gt_recall@20,precision@1,precision@3,precision@5,precision@10,precision@20,f1@1,f1@3,f1@5,f1@10,f1@20,ndcg@1,ndcg@3,ndcg@5,ndcg@10,ndcg@20,mrr,full_coverage@20,avg_gt_partitions,min_gt_partitions,max_gt_partitions,median_gt_partitions,std_gt_partitions,avg_first_hit_pos,median_first_hit_pos,avg_latency_ms,p50_latency_ms,p95_latency_ms,p99_latency_ms
musique,mlp_kl_div_tau_0.07,0.07,test,1995,78.55,89.57,93.33,96.64,98.9,71.13,83.53,87.74,92.33,96.51,78.55,31.96,20.53,11.06,5.9,73.59,45.46,32.78,19.55,11.04,78.55,80.74,82.69,84.43,85.66,84.91,94.09,1.24,1,3,1.0,0.44,1.8,1.0,0.3,0.29,0.32,0.33
musique,mlp_kl_div_tau_0.1,0.1,train,13956,99.65,99.99,100.0,100.0,100.0,87.54,99.08,99.64,99.92,99.99,99.65,40.99,24.83,12.47,6.24,91.55,56.66,39.02,21.91,11.67,99.65,99.06,99.35,99.46,99.49,99.81,99.99,1.25,1,3,1.0,0.44,1.0,1.0,0.29,0.29,0.31,0.33
musique,mlp_kl_div_tau_0.1,0.1,val,3987,78.43,88.64,92.48,96.09,98.72,70.81,81.83,86.35,91.04,95.7,78.43,31.54,20.31,10.93,5.86,73.34,44.73,32.39,19.31,10.97,78.43,79.67,81.76,83.5,84.88,84.54,92.68,1.25,1,3,1.0,0.44,1.85,1.0,0.3,0.29,0.33,0.34
musique,mlp_kl_div_tau_0.1,0.1,test,1995,78.75,89.27,92.78,96.09,98.7,71.2,82.61,86.74,91.59,96.25,78.75,31.66,20.23,10.94,5.87,73.71,45.0,32.33,19.35,11.0,78.75,80.25,82.15,83.95,85.33,84.86,93.73,1.24,1,3,1.0,0.44,1.84,1.0,0.3,0.29,0.33,0.35
musique,mlp_kl_div_tau_0.2,0.2,train,13956,97.89,99.71,99.93,99.99,100.0,86.3,95.28,96.98,98.55,99.53,97.89,38.44,23.74,12.19,6.2,90.14,53.62,37.48,21.45,11.59,97.89,95.48,96.34,96.97,97.28,98.8,99.05,1.25,1,3,1.0,0.44,1.03,1.0,0.3,0.29,0.34,0.35
musique,mlp_kl_div_tau_0.2,0.2,val,3987,75.72,86.46,90.32,94.08,97.74,68.38,79.52,83.79,88.66,94.21,75.72,30.42,19.61,10.58,5.74,70.82,43.27,31.31,18.71,10.75,75.72,77.16,79.15,80.94,82.54,82.18,90.69,1.25,1,3,1.0,0.44,2.02,1.0,0.29,0.29,0.34,0.35
musique,mlp_kl_div_tau_0.2,0.2,test,1995,75.44,86.42,90.03,94.69,97.94,68.47,79.56,83.63,89.44,94.8,75.44,30.33,19.38,10.62,5.76,70.79,43.19,31.02,18.8,10.79,75.44,77.2,79.05,81.19,82.74,82.08,91.63,1.24,1,3,1.0,0.44,2.01,1.0,0.29,0.29,0.33,0.35
musique,mlp_kl_div_tau_0.5,0.5,train,13956,95.18,98.8,99.53,99.89,99.99,84.1,92.86,94.94,97.12,98.71,95.18,37.0,22.96,11.9,6.11,87.77,51.85,36.35,20.97,11.44,95.18,92.79,93.8,94.66,95.16,97.06,97.41,1.25,1,3,1.0,0.44,1.1,1.0,0.3,0.29,0.34,0.35
musique,mlp_kl_div_tau_0.5,0.5,val,3987,74.12,85.45,88.89,93.23,96.84,67.06,78.15,81.79,87.49,93.25,74.12,29.72,18.95,10.39,5.67,69.4,42.37,30.33,18.39,10.62,74.12,75.73,77.4,79.5,81.17,80.84,89.64,1.25,1,3,1.0,0.44,2.02,1.0,0.3,0.29,0.33,0.34
musique,mlp_kl_div_tau_0.5,0.5,test,1995,74.94,85.21,88.97,93.58,97.14,68.15,78.29,82.32,87.77,93.63,74.94,29.74,19.03,10.35,5.68,70.41,42.42,30.48,18.34,10.64,74.94,76.17,77.99,79.97,81.69,81.28,90.13,1.24,1,3,1.0,0.44,2.02,1.0,0.3,0.29,0.33,0.34
